paper,link,what_it_does,results,drawbacks,gap_vs_ours
"Evaluating Bias in Spoken Dialogue LLMs for Real-World Decisions and Recommendations (FairDialogue)",https://arxiv.org/abs/2510.02352,"Measures how paralinguistic cues (age, gender, accent) in synthesized speech shift decision/recommendation outputs of spoken dialogue models (Qwen2.5-Omni, GLM-4-Voice, GPT-4o Audio, Gemini 2.5 Flash), including multi-turn dialogue.","Proprietary models show lower bias; open-source models more sensitive to age/gender; recommendation tasks amplify disparities; bias persists across turns.","Model is an ADVISOR producing its own recommendation for the speaker, not a grader of the speaker's answer content; TTS-only, no real-speech anchor.","Advisor role, not judge role; outcome is generated advice, not a rubric score of fixed content."
"Audio-Aware Large Language Models as Judges for Speaking Styles",https://arxiv.org/abs/2506.05984,"Uses GPT-4o-audio and Gemini-2.5-pro as judges of SYNTHETIC assistant speech style (emotion, volume, pace, emphasis, pitch, non-verbals) vs human evaluators.","Gemini-human agreement comparable to human-human agreement on style judging.","Judges style-quality of the assistant's OWN generated speech; no evaluee identity manipulation; no content-quality scoring under identity variation.","Different object of judgment entirely (assistant's synthetic voice-style output, not a human evaluee's answer content)."
"Audio Large Language Models Can Be Descriptive Speech Quality Evaluators",https://arxiv.org/abs/2501.17202,"Natural-language speech-quality corpus and ALLD (alignment with LLM distillation) method so audio LLMs extract MOS-relevant information from raw speech.","0.17 MSE on MOS prediction, 98.6% A/B test accuracy, beating prior models.","Trains a better acoustic-quality judge; never tests speaker-demographic effects on scores of identical content.","No accent/gender/identity treatment; pure judge-capability engineering."
"Bias Analysis of L2 Speaking Assessment Systems Using Concept Activation Vectors",https://arxiv.org/abs/2608.06300,"Uses Concept Activation Vectors and sparse autoencoders to probe whether a BERT text grader and Whisper-based multimodal grader of L2 speaking internally ENCODE irrelevant speaker attributes (L1, age).","Concept recoverability strongly depends on representation/architecture probed; encoding a concept is distinct from it influencing the predicted score.","Interpretability probing of internal representations on naturally-varying speakers, not a causal audit; never swaps voice on identical content.","Model is a grader, but the audit is correlational/representational, not a controlled same-content voice-swap experiment."
"Speak Your Mind: The Speech Continuation Task as a Probe of Voice-Based Model Bias",https://arxiv.org/abs/2509.22061,"First systematic bias assessment of speech CONTINUATION across gender and phonation styles, testing SpiritLM, VAE-GSLM, SpeechGPT.","Significant model x gender interactions; continuations shift toward modal/standard phonation more for female speakers.","Generative continuation behavior, not evaluation; no judge, no scores.","Not a judging task at all."
"Do Bias Benchmarks Generalise? Evidence from Voice-based Evaluation of Gender Bias in SpeechLLMs",https://arxiv.org/abs/2510.01254,"LoRA-fine-tunes 3 SpeechLLMs to hold specific MCQA gender-bias preferences, then tests whether that behavior transfers to other MCQA benchmarks and long-form generation.","MCQA bias-benchmark performance fails to predict bias in other benchmarks or long-form tasks.","Meta-methodological critique of assistant-role bias benchmarks; no grading task.","Does not test the model as grader; voice identity is not a treatment on assigned scores."
"Acoustic-based Gender Differentiation in Speech-aware Language Models",https://arxiv.org/abs/2509.21125,"9,208 speech samples probing whether identical questions get different answers by speaker gender in the LLaMA-Omni series; traces mechanism to the audio encoder.",Paradox: male-oriented answers on gender-stereotypical questions but gender-blind answers where differentiation is appropriate; traced to the Whisper encoder producing male-oriented acoustic tokens.,"Assistant-role response differentiation to the speaker's own query; no grading task, no score on content-identical answers.","Useful mechanism reference (encoder leaks speaker identity) but no judge, no evaluee-answer scoring."
"Interpretable, Fairly Evaluated Automated L2 Speaking Assessment that Beats the Single-Human Ceiling",https://arxiv.org/abs/2608.26137,"Hybrid speech-timing-features + text-LLM fluency grader for spontaneous L2 dialogue (130 ICNALE speeches) validated against 80 trained human raters, with a per-L1 fairness audit.","Spearman rho=0.818, exceeding 81% of individual human raters; explicit pause encoding gives no scoring advantage over aggregate pause statistics.","Fairness audit is OBSERVATIONAL across naturally different speakers producing different content -- not a causal same-content voice swap; model is a bespoke hybrid scorer, not a general audio-LLM judge.","Real L2 speech + grader + fairness axis, but correlational, not causal; no code-switching, no delivery treatment, no audio-LLM battery."
"Assessment of L2 Oral Proficiency using Speech Large Language Models",https://arxiv.org/abs/2505.21148,"Fine-tunes multimodal speech LLMs to grade L2 English speaking proficiency, comparing regression vs classification targets and cross-task transfer.","Speech LLMs beat prior competitive baselines on two L2 datasets and generalize across test parts/tasks.","Optimizes grading accuracy; never manipulates evaluee voice identity on content-identical answers.","No causal identity manipulation at all; pure capability paper."
"Evaluating Speech-to-Text x LLM x Text-to-Speech Combinations for AI Interview Systems",https://arxiv.org/abs/2507.16835,"Large empirical comparison of cascaded STT/LLM/TTS stacks over 300,000+ real AI-conducted job interviews using an LLM-as-judge evaluation framework.","Google STT + GPT-4.1 + Cartesia TTS performs best; objective quality metrics correlate only weakly with user satisfaction.","Documents our exact deployment surface (AI interview pipelines with LLM judging) but optimizes component choice only.","No fairness or evaluee-identity manipulation of any kind; motivates our 'why it matters' section, not a competing result."
"Integrating Psychometrics and Computing Perspectives on Bias and Fairness in Affective Computing: A Case Study of Automated Video Interviews",https://arxiv.org/abs/2305.02629,"Merges psychometric and ML fairness frameworks to catalogue bias sources in inferring personality/hireability from multimodal automated video interview data.","Provides fairness/bias measurement methods and metrics for automated interview assessment pipelines.","Framework + observational fairness metrics on pre-LLM multimodal features; no audio-LLM judge.","Pre-audio-LLM era framework paper; no controlled content-identical voice manipulation."
"Do LLM Decoders Listen Fairly? Benchmarking How Language Model Priors Shape Bias in Speech Recognition",https://arxiv.org/abs/2604.21276,"Benchmarks 9 models across 3 architectures on ~43k utterances over 5 demographic dimensions (ethnicity, accent, gender, age, L1) to test whether LLM decoders amplify ASR bias, including acoustic-stress conditions.","LLM decoders don't amplify racial bias; Whisper hallucinates selectively on Indian-accented speech, worsened by silence injection; audio encoder design (not LLM scale) is the fairness lever.","Establishes the upstream ASR/transcription channel of accent bias but stops at recognition (WER), never at downstream evaluative scoring.","Motivates our acoustic-vs-ASR-channel decomposition arm; is the ASR-side analog we cite, not a competing result."
"Racial disparities in automated speech recognition",https://doi.org/10.1073/pnas.1915768117,"Audits 5 commercial ASR systems (Amazon, Apple, Google, IBM, Microsoft) on 19.8h of interviews with 42 white and 73 Black speakers, age/gender matched, including some identical phrases.","Average WER 0.35 for Black vs 0.19 for white speakers; gap persists on identical phrases, traced to acoustic models.","Canonical upstream ASR-disparity result even using matched-content phrases, but measures transcription error, not judge-assigned scores.","Cited as the classic ASR-channel precedent our decomposition arm builds on."
"VoiceAgentBench: Are Voice Assistants ready for agentic tasks?",https://arxiv.org/abs/2510.07978,"Benchmarks SpeechLMs on 6,000+ synthetic agentic spoken queries in English + 6 Indic languages (tool calls, multi-tool orchestration, dialogue, safety), using voice-conversion for speaker diversity.","ASR-LLM pipelines hit ~60.6% on English tool invocation; end-to-end models degrade sharply on Indic languages; gaps in tool coordination and adversarial robustness.","Speaker diversity is a robustness augmentation, not a causally analyzed bias factor; covers agentic task-completion competence, not evaluative scoring.","Owns the agentic/Indic-benchmark space; explicitly out of scope for us -- cited to delineate our optional code-switching arm from its territory."
"Reverse Linguistic Stereotyping: Measuring the Effect of Listener Expectations on Speech Evaluation",https://doi.org/10.1177/0261927X09341950,"Classic guise experiment: listeners rate the SAME recorded speech paired with different apparent speaker identities (e.g., White vs Asian face) to isolate expectation-driven bias.","Identical native-English audio was rated more accented and less comprehensible under the Asian-guise condition; listener expectations alone shift speech evaluations.","Human listeners, not LLM judges; predates audio-LLMs entirely.","The exact human-rater precedent for our design -- content-identical audio + manipulated identity -- that we port from human listeners to audio-LLM judges; strong motivating citation."
"MedVoiceBias: A Controlled Study of Audio LLM Behavior in Clinical Decision-Making",https://arxiv.org/abs/2511.06592,"Synthesizes 170 clinical cases into speech from 36 TTS voice profiles varying age, gender, emotion; compares audio-LLM clinical recommendations vs identical text inputs.","Severe modality bias (surgical recommendations shift up to 35% audio vs text); age disparities up to 12% persist under chain-of-thought; explicit reasoning removes gender bias.","TTS-only stimuli, no real-speech anchor; outcome is clinical decisions, not judge scores of an evaluee's answer quality; no accent axis.","Adjacent domain (clinical decisions, not grading); supports our TTS-as-instrument approach but doesn't compete with our judge-role claim."
"Position: Towards Responsible Evaluation for Text-to-Speech",https://arxiv.org/abs/2510.06927,"Position paper arguing current TTS evaluation is inadequate; proposes a three-level 'Responsible Evaluation' framework (faithful capability measurement, standardized benchmarks, societal-impact/bias assessment).","Argues existing TTS scoring methodologies fail to reflect true capabilities and that bias/misuse dimensions are unmeasured.","Critique of how TTS itself is evaluated, not a use of TTS as a controlled instrument to audit downstream audio-LLM judges.","Supports our instrument-validity caution (manipulation-check requirement) but is not a competing empirical result."
"Pairwise Evaluation of Accent Similarity in Speech Synthesis",https://arxiv.org/abs/2505.14410,"Builds subjective (refined XAB with transcripts) and objective (vowel-formant distance, phonetic posteriorgrams) methods for evaluating accent similarity of accented TTS output.","Pronunciation-based + acoustic metrics are jointly usable for accent-similarity evaluation; WER has significant limitations for underrepresented accents.","Evaluates TTS output quality itself, not effects on any downstream judge.","Provides exactly the accent-fidelity manipulation-check methodology our TTS treatment arm needs; a methods citation, not a competing result."
"CodecMOS-Accent: A MOS Benchmark of Resynthesized and TTS Speech from Neural Codecs Across English Accents",https://arxiv.org/abs/2603.14328,"MOS benchmark of 4,000 codec-resynthesis and TTS samples from 24 systems, 32 speakers, 10 accents; 19,600 human annotations on naturalness, speaker similarity, accent similarity.","Tight coupling between speaker similarity and accent similarity; documents listener perceptual bias effects on accent ratings.","Quantifies TTS/codec accent fidelity (instrument validation) but has no audio-LLM judge and no causal scoring outcome.","Instrument-validity citation for our manipulation check, not a competing empirical claim."
"Scalable Controllable Accented TTS",https://arxiv.org/abs/2508.07426,"Scales accented TTS via speech-geolocation-based accent label discovery plus kNN voice-conversion timbre augmentation, fine-tuning XTTS-v2 on CommonVoice.","Geolocation-discovered accent labels beat self-reported labels and existing accented-TTS benchmarks.","Establishes that accent-controllable TTS is nontrivial and label-dependent; does no bias auditing of any downstream model.","A validity caveat for our Gemini/ElevenLabs accent prompting -- motivates our mandatory manipulation-check pilot."
"VocalBench-DF: A Benchmark for Evaluating Speech LLM Robustness to Disfluency",https://arxiv.org/abs/2510.15406,"Framework for evaluating speech-LLM robustness to disfluency across a multi-dimensional taxonomy (motivated by Parkinson's-type impairments); evaluates 22 mainstream Speech-LLMs.","Substantial performance degradation under disfluency; phoneme-level processing and long-context modeling are the primary bottlenecks.","Treats disfluency as a robustness stressor on TASK PERFORMANCE, not as a delivery treatment on judge SCORES of content-identical answers.","Delineates our delivery arm: comprehension robustness (their claim) vs. grading-score leakage under an ignore-delivery instruction (our claim)."
"Investigating Human-Model Discrepancies in Speech Quality Assessment via Acoustic and Prosodic Perturbations",https://arxiv.org/abs/2606.19951,"Applies controlled perturbations (acoustic degradation, prosodic errors, pitch/rate manipulation) and compares MOS-prediction models against human listeners.","Models track acoustic degradation but are insensitive to prosodic errors humans penalize; strong mean-F0 biases absent in humans.","Targets speech-quality (MOS) models, not audio-LLM content judges; no accent/identity variables.","Validates our controlled-perturbation methodology for the delivery arm; a methods citation."
"Should We Type or Talk to LLM Agents? A Comprehensive Study of Voice and Keyboard Input Perturbations (HIVE)",https://arxiv.org/abs/2608.03970,"Introduces HIVE, voice-transcription and keyboard perturbation suites; evaluates instruction-tuned LLM robustness to each channel's noise signature.","Voice perturbations lower accuracy across all models; transcription structure (not filler words) carries most of the cost.","Perturbs text transcripts fed to text LLMs; never touches audio-LLM judges or speaker identity.","Supports our WER-neutral-filler design choice; not a judge-bias result."
"L2-ARCTIC: A Non-native English Speech Corpus",https://isca-archive.org/interspeech_2018/zhao18b_interspeech.html,"Canonical corpus paper: non-native English read speech on CMU ARCTIC prompts from 10 (later 24) speakers across Hindi/Korean/Mandarin/Spanish/Arabic/Vietnamese L1s, with orthographic/phonetic alignments and 150 manually annotated utterances per speaker.","Built for voice conversion, accent conversion, and mispronunciation detection research; now the standard real-L2 accent testbed.","No bias auditing in the original paper.","The corpus itself -- our causal real-speech anchor; license (CC BY-NC 4.0) and 1,132-sentence overlap with CMU ARCTIC independently verified for this project (2026-09-03)."
"Prior over Evidence: Stereotype-Driven Diagnosis in LLM-Based L2 Pronunciation Feedback",https://arxiv.org/abs/2606.15325,"Tests 1,800 L2-ARCTIC utterances across six L1 backgrounds on three audio-capable LLMs used to give pronunciation feedback grounded in externally computed evidence.","General-purpose LLMs are more reliable as verbalizers of externally computed pronunciation evidence than as standalone diagnostic engines; stereotype-driven diagnosis errors documented.","Shares our real-L2-ARCTIC instrument and accent(L1) axis and a judge/diagnostic role, but measures diagnostic grounding accuracy, not whether a held-constant CONTENT score shifts with voice; no gender, delivery, or code-switching axis; no TTS-vs-real-L2 crossing.","Nearest neighbor by instrument (shares L2-ARCTIC + audio-LLM-as-evaluator), but the outcome variable is diagnostic accuracy/stereotyping in feedback generation, not a content-quality score of a fixed answer."
"MOS-Bias: From Hidden Gender Bias to Gender-Aware Speech Quality Assessment",https://arxiv.org/abs/2603.10723,"Documents systematic gender bias in human Mean Opinion Score (MOS) annotation of speech quality and proposes gender-aware assessment methods.","Male listeners consistently assign higher MOS scores than female listeners across corpora.","Rater-gender bias in human MOS annotation, not evaluee-voice bias in an LLM judge's content grading.","Different axis entirely (annotator demographics, not evaluee demographics); cited only to delineate our scope."
